code,country_name,gdp
TEC,Europe & Central Asia (IDA & IBRD countries),4525639233067
TGO,Togo,8413200567
THA,Thailand,505981655622
TJK,Tajikistan,8746270636
TLA,Latin America & the Caribbean (IDA & IBRD countries),5202510610993
TLS,Timor-Leste,1959134743
TMN,Middle East & North Africa (IDA & IBRD countries),1437882615132
TSA,South Asia (IDA & IBRD),4087773969795
TSS,Sub-Saharan Africa (IDA & IBRD countries),1917904004877
TTO,Trinidad and Tobago,21391802311
TUN,Tunisia,46840042941
TUR,Turkiye,815271751724
TUV,Tuvalu,63100961
TZA,Tanzania,67775101794
UGA,Uganda,40434701516
UKR,Ukraine,200085537744
UMC,Upper middle income,27104280387250
URY,Uruguay,59319547636
USA,United States,22996100000000
UZB,Uzbekistan,69238903106
VCT,St. Vincent and the Grenadines,889775243
VNM,Vietnam,362637524070
VUT,Vanuatu,983469256
WLD,World,96100091004540
WSM,Samoa,788389971
XKX,Kosovo,9007159195
YEM,"Yemen, Rep.",21061691629
ZAF,South Africa,419946428126
ZMB,Zambia,21203059080
ZWE,Zimbabwe,26217726717
